[2025-10-28 19:44:51 | 1761695091s] --- APP STARTUP ---
Barcode vpre-alpha started at 2025-10-28 19:44:51

[2025-10-28 19:44:51 | 1761695091s] None
[2025-10-28 19:44:51 | 1761695091s] None
[2025-10-28 19:44:51 | 1761695091s] None
[2025-10-28 19:44:51 | 1761695091s] None
[2025-10-28 19:44:51 | 1761695091s] None
[2025-10-28 19:44:51 | 1761695091s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:44:51 | 1761695091s] run handle_cursor_function
[2025-10-28 19:44:51 | 1761695091s] None
[2025-10-28 19:44:51 | 1761695091s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:44:51 | 1761695091s] run handle_cursor_function
[2025-10-28 19:44:51 | 1761695091s] None
[2025-10-28 19:44:51 | 1761695091s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:44:51 | 1761695091s] run handle_cursor_function
[2025-10-28 19:44:52 | 1761695092s] None
[2025-10-28 19:44:52 | 1761695092s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:44:52 | 1761695092s] run handle_cursor_function
[2025-10-28 19:44:52 | 1761695092s] None
[2025-10-28 19:44:52 | 1761695092s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:44:52 | 1761695092s] run handle_cursor_function
[2025-10-28 19:44:52 | 1761695092s] None
[2025-10-28 19:44:52 | 1761695092s] None
[2025-10-28 19:44:52 | 1761695092s] None
[2025-10-28 19:44:52 | 1761695092s] None
[2025-10-28 19:44:52 | 1761695092s] None
[2025-10-28 19:44:52 | 1761695092s] None
[2025-10-28 19:44:52 | 1761695092s] None
[2025-10-28 19:44:53 | 1761695093s] None
[2025-10-28 19:44:53 | 1761695093s] CursorAction(MoveRel(0, -1))
[2025-10-28 19:44:53 | 1761695093s] run handle_cursor_function
[2025-10-28 19:44:53 | 1761695093s] None
[2025-10-28 19:44:53 | 1761695093s] None
[2025-10-28 19:44:53 | 1761695093s] None
[2025-10-28 19:44:53 | 1761695093s] None
[2025-10-28 19:44:53 | 1761695093s] None
[2025-10-28 19:44:53 | 1761695093s] None
[2025-10-28 19:44:53 | 1761695093s] None
[2025-10-28 19:44:53 | 1761695093s] None
[2025-10-28 19:44:54 | 1761695094s] None
[2025-10-28 19:44:54 | 1761695094s] None
[2025-10-28 19:44:54 | 1761695094s] None
[2025-10-28 19:44:54 | 1761695094s] None
[2025-10-28 19:44:54 | 1761695094s] None
[2025-10-28 19:44:54 | 1761695094s] None
[2025-10-28 19:44:54 | 1761695094s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:44:54 | 1761695094s] run handle_cursor_function
[2025-10-28 19:44:54 | 1761695094s] None
[2025-10-28 19:44:54 | 1761695094s] None
[2025-10-28 19:44:54 | 1761695094s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:44:54 | 1761695094s] run handle_cursor_function
[2025-10-28 19:44:55 | 1761695095s] None
[2025-10-28 19:44:55 | 1761695095s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:44:55 | 1761695095s] run handle_cursor_function
[2025-10-28 19:44:55 | 1761695095s] None
[2025-10-28 19:44:55 | 1761695095s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:44:55 | 1761695095s] run handle_cursor_function
[2025-10-28 19:44:55 | 1761695095s] None
[2025-10-28 19:44:55 | 1761695095s] None
[2025-10-28 19:44:55 | 1761695095s] None
[2025-10-28 19:44:55 | 1761695095s] None
[2025-10-28 19:44:55 | 1761695095s] None
[2025-10-28 19:44:55 | 1761695095s] CursorAction(MoveRel(0, 1))
[2025-10-28 19:44:55 | 1761695095s] run handle_cursor_function
[2025-10-28 19:44:55 | 1761695095s] None
[2025-10-28 19:44:56 | 1761695096s] None
[2025-10-28 19:44:56 | 1761695096s] CursorAction(MoveRel(0, -1))
[2025-10-28 19:44:56 | 1761695096s] run handle_cursor_function
[2025-10-28 19:44:56 | 1761695096s] None
[2025-10-28 19:44:56 | 1761695096s] None
[2025-10-28 19:44:56 | 1761695096s] CursorAction(MoveRel(0, 1))
[2025-10-28 19:44:56 | 1761695096s] run handle_cursor_function
[2025-10-28 19:44:56 | 1761695096s] None
[2025-10-28 19:44:56 | 1761695096s] None
[2025-10-28 19:44:56 | 1761695096s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:44:56 | 1761695096s] run handle_cursor_function
[2025-10-28 19:44:56 | 1761695096s] None
[2025-10-28 19:44:56 | 1761695096s] None
[2025-10-28 19:44:56 | 1761695096s] None
[2025-10-28 19:44:56 | 1761695096s] CursorAction(MoveRel(1, 0))
